frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
93,3.1000,2.5065,7.5279,42.6528,95.05,0.503,0.398
94,3.1333,2.7435,8.2843,46.3403,94.97,0.518,0.415
95,3.1667,2.5358,8.9382,47.5139,95.22,0.520,0.408
96,3.2000,2.1185,9.2244,46.9792,95.23,0.523,0.442
97,3.2333,1.7747,8.9709,46.7708,95.46,0.506,0.446
98,3.2667,1.2504,8.9831,44.9375,95.26,0.474,0.470
99,3.3000,1.0360,9.0611,45.6319,95.59,0.478,0.455
100,3.3333,1.1089,8.8134,50.3194,95.57,0.499,0.464
101,3.3667,1.1777,8.4440,50.8333,95.72,0.510,0.453
102,3.4000,1.4543,7.3508,43.6319,95.60,0.522,0.422
103,3.4333,1.4121,6.6160,37.6389,95.91,0.528,0.403
104,3.4667,1.5458,6.4140,33.3403,95.86,0.537,0.409
105,3.5000,1.6152,6.6151,33.4653,96.01,0.535,0.427
106,3.5333,1.6625,6.8169,37.0000,95.88,0.544,0.400
107,3.5667,1.4580,7.0163,38.9306,96.04,0.534,0.396
108,3.6000,1.0936,6.9213,38.9375,95.95,0.533,0.377
109,3.6333,0.8913,6.8243,38.0694,95.97,0.534,0.413
110,3.6667,0.4626,6.2462,33.9722,95.74,0.520,0.456
111,3.7000,0.4470,5.7436,29.5833,95.84,0.525,0.409
112,3.7333,0.4646,4.9823,25.1944,95.74,0.551,0.401
113,3.7667,0.4590,4.2709,22.6597,95.80,0.517,0.464
114,3.8000,0.5178,3.6464,18.7569,95.69,0.506,0.413
115,3.8333,0.4389,3.1277,15.4028,95.86,0.495,0.410
116,3.8667,0.5501,2.8225,12.0417,95.85,0.517,0.418
117,3.9000,0.6867,2.9048,13.6250,95.90,0.509,0.425
118,3.9333,0.6170,3.0510,14.2639,95.74,0.513,0.466
119,3.9667,0.6723,3.3947,15.5347,95.92,0.514,0.435
120,4.0000,0.4725,3.4699,16.1944,95.85,0.528,0.444
121,4.0333,0.5188,3.5595,17.3194,95.86,0.530,0.479
122,4.0667,0.5785,3.3404,17.4097,95.70,0.518,0.569
123,4.1000,0.5059,3.2815,17.4583,95.83,0.505,0.603
124,4.1333,0.6561,3.2143,16.7569,95.71,0.498,0.661
125,4.1667,0.9174,3.3306,18.9861,95.71,0.492,0.715
126,4.2000,1.3583,3.6900,23.5208,95.54,0.459,0.716
127,4.2333,1.5454,4.2384,36.0625,95.75,0.453,0.724
128,4.2667,1.8890,4.6739,32.1250,95.73,0.448,0.696
129,4.3000,1.9360,5.2661,30.9444,95.81,0.446,0.668
130,4.3333,1.4657,5.5485,29.6111,95.70,0.521,0.489
131,4.3667,2.4605,6.0576,32.6528,96.01,0.478,0.578
132,4.4000,2.9412,5.9891,33.9097,96.11,0.446,0.671
133,4.4333,2.2248,5.8039,23.2847,96.32,0.475,0.616
134,4.4667,1.1747,5.7219,22.7222,96.08,0.471,0.549
135,4.5000,1.0864,6.4498,24.8125,96.28,0.484,0.508
136,4.5333,1.4435,6.8521,40.3819,96.13,0.524,0.455
137,4.5667,1.5516,6.8968,34.6944,96.02,0.537,0.405
138,4.6000,1.2232,6.1289,29.8264,95.59,0.556,0.371
139,4.6333,1.0137,6.2923,39.3889,95.58,0.539,0.376
140,4.6667,0.8743,5.8153,26.1389,95.44,0.531,0.447
141,4.7000,0.9261,5.4166,26.3264,95.41,0.526,0.430
142,4.7333,0.8364,5.2429,24.9792,95.18,0.518,0.458
143,4.7667,0.9078,5.1702,22.9514,95.34,0.514,0.482
144,4.8000,0.8480,5.1449,22.1736,95.26,0.509,0.487
145,4.8333,0.9178,5.2627,20.8750,95.32,0.524,0.474
146,4.8667,0.7789,5.1170,20.7083,95.10,0.506,0.525
147,4.9000,0.7559,5.0781,25.4653,95.26,0.499,0.561
148,4.9333,0.5444,4.9628,27.8056,95.19,0.473,0.683
149,4.9667,0.6257,4.8396,31.5972,95.26,0.472,0.691
150,5.0000,0.7777,4.4979,34.1736,95.14,0.436,0.714
151,5.0333,0.7653,4.1925,34.9861,95.26,0.419,0.742
152,5.0667,0.8887,3.8508,34.0694,95.22,0.409,0.724
153,5.1000,1.0110,3.6684,32.3681,95.32,0.411,0.703
154,5.1333,1.4661,3.6385,34.0833,95.22,0.456,0.597
155,5.1667,1.5241,4.2947,42.9375,95.43,0.445,0.566
156,5.2000,1.6259,5.0735,47.1944,95.47,0.466,0.507
157,5.2333,1.7304,5.6966,42.8958,95.75,0.460,0.564
