frame,time,motion,luma,centroid_x,centroid_y
132,5.2800,0.5104,60.61,0.403,0.414
133,5.3200,0.4965,60.41,0.389,0.405
134,5.3600,0.3937,60.15,0.408,0.515
135,5.4000,0.4449,60.05,0.448,0.489
136,5.4400,0.4944,59.83,0.443,0.549
137,5.4800,0.6628,59.62,0.464,0.501
138,5.5200,0.2669,59.22,0.406,0.595
139,5.5600,0.3025,59.14,0.468,0.513
140,5.6000,0.2635,58.98,0.407,0.580
141,5.6400,0.3286,58.94,0.473,0.523
142,5.6800,0.2817,58.77,0.477,0.573
143,5.7200,0.3633,58.70,0.512,0.533
144,5.7600,0.2188,58.47,0.409,0.650
145,5.8000,0.2999,58.47,0.460,0.595
146,5.8400,0.2535,58.34,0.421,0.665
147,5.8800,0.3741,58.29,0.460,0.611
148,5.9200,0.0673,58.11,0.466,0.535
149,5.9600,0.6910,58.07,0.507,0.531
150,6.0000,0.0694,57.67,0.479,0.369
151,6.0400,0.0577,57.72,0.490,0.466
152,6.0800,0.0365,57.68,0.520,0.421
153,6.1200,0.0842,57.68,0.487,0.389
154,6.1600,0.0291,57.60,0.451,0.385
155,6.2000,0.0720,57.61,0.512,0.422
156,6.2400,0.0339,57.56,0.445,0.463
157,6.2800,0.0833,57.57,0.524,0.444
158,6.3200,0.0312,57.50,0.462,0.374
159,6.3600,0.0161,57.52,0.521,0.317
160,6.4000,0.0195,57.51,0.454,0.404
161,6.4400,0.0434,57.52,0.423,0.351
162,6.4800,0.0226,57.49,0.475,0.225
163,6.5200,0.0130,57.50,0.510,0.406
164,6.5600,0.0122,57.50,0.550,0.361
165,6.6000,0.0265,57.51,0.566,0.312
166,6.6400,0.0217,57.49,0.552,0.322
167,6.6800,0.0130,57.50,0.549,0.219
168,6.7200,0.0074,57.50,0.536,0.405
169,6.7600,0.0260,57.50,0.351,0.276
170,6.8000,0.0247,57.48,0.383,0.306
171,6.8400,0.0221,57.49,0.453,0.327
172,6.8800,0.0230,57.48,0.609,0.364
173,6.9200,0.0334,57.49,0.535,0.283
174,6.9600,7.2096,57.47,0.179,0.806
175,7.0000,0.0582,50.48,0.717,0.558
176,7.0400,0.0247,50.43,0.583,0.487
177,7.0800,0.0734,50.43,0.651,0.449
178,7.1200,0.0247,50.37,0.476,0.319
179,7.1600,0.0378,50.38,0.535,0.348
180,7.2000,0.0052,50.35,0.745,0.162
181,7.2400,0.0074,50.36,0.514,0.261
182,7.2800,0.0152,50.35,0.576,0.544
183,7.3200,0.0091,50.36,0.751,0.733
184,7.3600,0.3047,50.37,0.977,0.965
185,7.4000,0.4731,50.67,0.976,0.934
186,7.4400,0.6632,51.12,0.961,0.875
187,7.4800,2.2231,51.78,0.975,0.790
188,7.5200,8.2938,53.97,0.832,0.839
189,7.5600,15.9371,62.15,0.699,0.689
190,7.6000,20.2543,77.73,0.566,0.433
191,7.6400,9.5469,97.28,0.408,0.730
192,7.6800,19.4970,92.31,0.625,0.710
193,7.7200,22.1411,74.51,0.790,0.480
194,7.7600,2.4054,53.20,0.894,0.512
195,7.8000,1.1298,51.44,0.984,0.474
196,7.8400,1.1636,51.49,0.985,0.287
