frame,time,motion,motion_w8,motion_localmax,luma,centroid_x,centroid_y
93,3.1000,0.0786,1.7237,11.6875,98.21,0.591,0.545
94,3.1333,0.0626,1.4322,8.3819,98.25,0.596,0.551
95,3.1667,0.0566,1.2151,5.4722,98.25,0.589,0.503
96,3.2000,0.0800,0.2246,3.0972,98.27,0.597,0.562
97,3.2333,1.5104,1.6732,9.3264,98.26,0.503,0.413
98,3.2667,0.5855,2.2463,10.6944,97.95,0.521,0.269
99,3.3000,1.1827,3.2221,14.4444,98.04,0.500,0.239
100,3.3333,3.5350,4.3638,12.7708,98.53,0.490,0.222
101,3.3667,2.5661,5.5664,19.2917,98.87,0.488,0.219
102,3.4000,6.5965,10.0241,42.5625,98.80,0.491,0.215
103,3.4333,12.9739,16.9689,74.4236,97.82,0.485,0.213
104,3.4667,6.1492,19.9174,84.1944,94.69,0.483,0.214
105,3.5000,12.2575,26.2745,91.4861,93.82,0.489,0.216
106,3.5333,26.4219,30.1363,103.1389,92.49,0.488,0.254
107,3.5667,12.1452,27.3021,83.2708,98.25,0.487,0.213
108,3.6000,24.0074,24.9472,94.3194,99.17,0.486,0.214
109,3.6333,31.6158,31.4092,87.4444,99.20,0.489,0.216
110,3.6667,13.6054,32.4895,95.9167,95.01,0.499,0.219
111,3.7000,25.0967,35.8011,109.9236,94.78,0.515,0.219
112,3.7333,34.2551,35.2770,130.1181,95.59,0.500,0.216
113,3.7667,16.9215,33.9597,108.1111,92.35,0.477,0.209
114,3.8000,24.2255,35.8475,137.8889,87.91,0.486,0.218
115,3.8333,22.6957,26.3692,157.6458,80.96,0.495,0.218
116,3.8667,11.3734,32.0857,145.5139,75.00,0.495,0.216
117,3.9000,12.7600,32.7425,150.7222,71.45,0.498,0.214
118,3.9333,7.6157,36.2326,152.0764,66.19,0.498,0.216
119,3.9667,2.3537,36.5811,137.9167,61.78,0.498,0.219
120,4.0000,2.2922,33.6418,121.9792,60.84,0.499,0.218
121,4.0333,1.4661,30.2854,108.2917,59.53,0.501,0.226
122,4.0667,0.0336,23.2309,94.4236,58.11,0.606,0.626
123,4.1000,0.0588,17.2622,81.7708,58.12,0.562,0.660
124,4.1333,139.4341,139.1584,241.0069,58.08,0.506,0.463
125,4.1667,0.2905,137.8345,241.0069,175.74,0.492,0.366
126,4.2000,1.4491,139.0716,241.0069,175.67,0.501,0.529
127,4.2333,1.0987,139.4075,241.0069,176.21,0.500,0.307
128,4.2667,0.7220,139.7551,241.0000,176.22,0.516,0.268
129,4.3000,1.9545,140.4149,241.0000,176.22,0.498,0.287
130,4.3333,2.4640,140.7802,241.0000,176.20,0.506,0.281
131,4.3667,1.5479,141.0149,241.0000,176.24,0.509,0.291
132,4.4000,4.3107,11.8228,46.2986,176.25,0.506,0.341
133,4.4333,4.8287,15.8558,63.5764,175.96,0.506,0.307
134,4.4667,2.6442,17.5789,69.4653,176.02,0.504,0.316
135,4.5000,6.0781,20.4472,69.4861,176.27,0.505,0.328
136,4.5333,7.0510,25.9044,79.1597,177.09,0.505,0.341
137,4.5667,4.4684,26.5385,75.8194,177.91,0.505,0.332
138,4.6000,7.9956,32.2426,94.6667,178.53,0.511,0.418
139,4.6333,8.1653,38.7179,119.8264,177.80,0.517,0.508
140,4.6667,4.5557,39.8852,132.5139,175.32,0.525,0.445
141,4.7000,8.9730,44.7068,145.5208,173.25,0.530,0.363
142,4.7333,10.2358,51.0174,175.9722,167.41,0.535,0.356
143,4.7667,5.4874,50.4803,192.6458,160.66,0.535,0.348
144,4.8000,10.0024,52.6532,215.4653,157.24,0.541,0.340
145,4.8333,8.9158,55.8803,224.8333,150.84,0.543,0.330
146,4.8667,3.8647,52.3582,213.4583,145.20,0.552,0.325
147,4.9000,6.8676,51.3698,196.9931,142.67,0.555,0.326
148,4.9333,5.8387,52.3177,190.0347,138.35,0.552,0.319
149,4.9667,2.6726,47.8003,174.1736,134.76,0.549,0.387
150,5.0000,4.2193,42.6630,137.8403,133.60,0.554,0.320
151,5.0333,3.3250,40.9719,120.0000,130.97,0.563,0.304
152,5.0667,1.6809,33.9327,105.6806,128.89,0.540,0.323
153,5.1000,2.4590,28.3097,84.9375,128.25,0.541,0.346
154,5.1333,1.8624,26.2998,77.6875,126.93,0.560,0.306
155,5.1667,0.8185,20.8492,59.9375,125.82,0.573,0.305
156,5.2000,1.2114,16.6900,48.0833,125.32,0.571,0.304
157,5.2333,0.8710,15.2965,43.8750,124.61,0.554,0.298
158,5.2667,0.3000,11.7021,34.7292,124.10,0.545,0.290
159,5.3000,0.7015,8.8306,28.0208,123.93,0.471,0.333
160,5.3333,0.2859,7.7158,24.6944,123.33,0.597,0.538
161,5.3667,0.0610,5.5960,17.5625,123.25,0.698,0.225
162,5.4000,0.0330,3.8794,11.8194,123.29,0.724,0.271
163,5.4333,0.0444,3.1640,9.5903,123.28,0.673,0.236
164,5.4667,0.0130,2.0155,5.4375,123.25,0.420,0.348
165,5.5000,0.0205,1.2271,5.1181,123.25,0.447,0.234
166,5.5333,0.0178,0.9852,5.1181,123.26,0.495,0.229
167,5.5667,0.0217,0.3261,5.1181,123.25,0.297,0.363
168,5.6000,0.0205,0.0594,0.2847,123.24,0.493,0.233
169,5.6333,0.0188,0.1011,0.4375,123.25,0.507,0.222
170,5.6667,0.0145,0.0855,0.2986,123.24,0.505,0.618
171,5.7000,0.0155,0.0601,0.2986,123.23,0.509,0.609
172,5.7333,0.0117,0.0616,0.2569,123.22,0.494,0.354
173,5.7667,0.0271,0.0641,0.2986,123.22,0.409,0.265
174,5.8000,0.0246,0.0525,0.2708,123.24,0.355,0.263
175,5.8333,0.0085,0.0414,0.2708,123.22,0.469,0.372
176,5.8667,1.2728,1.3154,12.6597,123.21,0.548,0.596
177,5.9000,0.0021,1.3039,12.6597,122.88,0.554,0.638
178,5.9333,0.1278,1.3573,12.8125,122.88,0.612,0.408
179,5.9667,0.0038,1.3651,12.8125,122.91,0.763,0.224
180,6.0000,0.0123,1.3555,12.8194,122.91,0.950,0.288
181,6.0333,0.0075,1.3621,12.8125,122.90,0.945,0.230
182,6.0667,0.0123,1.3580,12.8194,122.91,0.950,0.403
183,6.1000,0.0183,1.3609,12.8125,122.91,0.337,0.366
184,6.1333,0.0102,0.1148,0.3681,122.91,0.762,0.280
185,6.1667,0.0093,0.1206,0.3542,122.91,0.741,0.272
186,6.2000,0.0173,0.0239,0.2500,122.91,0.368,0.369
187,6.2333,0.0116,0.0239,0.2500,122.90,0.739,0.314
188,6.2667,0.0062,0.0208,0.2083,122.90,0.861,0.320
189,6.3000,0.0061,0.0190,0.1875,122.90,0.777,0.340
190,6.3333,0.0067,0.0171,0.1389,122.91,0.689,0.302
191,6.3667,0.0091,0.0279,0.2083,122.91,0.604,0.365
192,6.4000,0.0143,0.0238,0.1667,122.91,0.258,0.394
193,6.4333,0.0164,0.0336,0.2083,122.91,0.366,0.445
194,6.4667,0.6521,0.6711,10.8056,122.91,0.503,0.760
195,6.5000,0.0102,0.6682,10.8056,123.29,0.693,0.431
196,6.5333,0.0086,0.6664,10.8056,123.29,0.712,0.414
197,6.5667,0.0041,0.6647,10.8056,123.29,0.917,0.529
198,6.6000,0.1260,0.7759,10.8056,123.29,0.242,0.390
199,6.6333,0.0196,0.7791,10.8056,123.38,0.521,0.321
200,6.6667,0.0080,0.7858,10.7986,123.40,0.572,0.287
