frame,time,motion,luma,centroid_x,centroid_y
132,5.5000,16.1185,162.10,0.591,0.275
133,5.5417,11.8220,162.71,0.513,0.276
134,5.5833,9.5352,163.84,0.489,0.268
135,5.6250,10.5373,164.30,0.467,0.292
136,5.6667,9.4002,164.58,0.448,0.283
137,5.7083,9.3129,163.64,0.408,0.285
138,5.7500,10.3702,162.26,0.400,0.282
139,5.7917,11.5842,160.89,0.352,0.296
140,5.8333,14.0382,162.19,0.310,0.330
141,5.8750,12.9054,167.43,0.285,0.342
142,5.9167,13.0755,169.89,0.301,0.373
143,5.9583,12.3281,168.59,0.292,0.394
144,6.0000,11.0365,166.12,0.305,0.418
145,6.0417,12.1476,166.21,0.269,0.441
146,6.0833,36.1228,166.67,0.546,0.349
147,6.1250,26.1862,164.34,0.505,0.607
148,6.1667,14.1884,150.68,0.291,0.479
149,6.2083,14.3559,150.23,0.291,0.470
150,6.2500,15.9857,154.73,0.279,0.468
151,6.2917,13.3984,157.51,0.292,0.501
152,6.3333,13.0673,154.60,0.323,0.507
153,6.3750,14.3025,152.21,0.314,0.469
154,6.4167,14.6367,155.34,0.320,0.461
155,6.4583,15.7860,153.98,0.410,0.509
156,6.5000,12.6706,153.08,0.324,0.445
157,6.5417,10.8524,154.30,0.268,0.411
158,6.5833,9.7378,156.70,0.260,0.410
159,6.6250,8.6940,155.14,0.250,0.384
160,6.6667,8.5599,153.33,0.233,0.348
161,6.7083,8.6545,152.84,0.240,0.336
162,6.7500,8.0577,151.13,0.256,0.348
163,6.7917,7.4062,150.23,0.273,0.341
164,6.8333,6.6337,147.93,0.272,0.351
165,6.8750,5.9766,145.65,0.299,0.377
166,6.9167,7.7674,146.57,0.304,0.370
167,6.9583,11.0521,149.27,0.414,0.357
168,7.0000,14.8212,153.21,0.539,0.343
169,7.0417,12.6858,156.41,0.507,0.352
170,7.0833,12.7305,155.31,0.456,0.347
171,7.1250,12.8455,153.76,0.418,0.335
172,7.1667,12.3416,152.58,0.386,0.317
173,7.2083,11.2118,156.17,0.357,0.306
174,7.2500,10.1988,160.53,0.333,0.299
175,7.2917,7.6875,165.07,0.309,0.306
176,7.3333,8.3655,167.44,0.403,0.399
177,7.3750,7.4948,167.38,0.385,0.379
